task_id,task_name,assigned_to,department,status,priority,start_date,due_date,budget_usd,actual_cost_usd,completion_pct,subtask_count,last_updated,notes,risk_flag,sprint_id,ticket_ref
T-2001,Implementation Phase 1,Ivan Drago,Marketing,In Progress,High,2024-01-07,2024-01-15,1819,1671,23,1,2024-01-13,Milestone for Marketing initiative #1. Requires sign-off from Ivan Drago. Estimated effort: 4h.,Low,SPR-02,JIRA-4582
T-2002,Implementation Phase 2,Hannah Lee,Finance,Cancelled,Medium,2024-01-04,2024-01-25,1869,1481,38,3,2024-01-04,Milestone for Finance initiative #2. Requires sign-off from Hannah Lee. Estimated effort: 12h.,,SPR-06,JIRA-5552
T-2003,Implementation Phase 3,Fiona Gallagher,QA,Not Started,Medium,2024-01-05,2024-01-16,12029,5672,0,3,2024-01-05,Milestone for QA initiative #3. Requires sign-off from Fiona Gallagher. Estimated effort: 31h.,Low,SPR-07,JIRA-2291
T-2004,Implementation Phase 4,Diana Prince,Finance,Not Started,High,2024-01-09,2024-01-23,12850,10333,0,3,2024-01-10,Milestone for Finance initiative #4. Requires sign-off from Diana Prince. Estimated effort: 16h.,Low,SPR-07,JIRA-5554
T-2005,Implementation Phase 5,Bob Smith,Design,In Progress,Low,2024-01-09,2024-02-03,12954,6656,44,2,2024-01-26,Milestone for Design initiative #5. Requires sign-off from Bob Smith. Estimated effort: 17h.,Medium,SPR-08,JIRA-7216
T-2006,Implementation Phase 6,Alice Chen,Design,Not Started,High,2024-01-09,2024-02-03,19250,10659,0,3,2024-01-21,Milestone for Design initiative #6. Requires sign-off from Alice Chen. Estimated effort: 19h.,,SPR-04,
T-2007,Implementation Phase 7,Charlie Davis,Finance,Blocked,High,2024-01-09,2024-02-03,17358,11750,43,2,2024-02-01,Milestone for Finance initiative #7. Requires sign-off from Charlie Davis. Estimated effort: 37h.,,SPR-12,
T-2008,Implementation Phase 8,Alice Chen,Marketing,Cancelled,Medium,2024-01-13,2024-01-30,12861,7118,21,1,2024-01-17,Milestone for Marketing initiative #8. Requires sign-off from Alice Chen. Estimated effort: 12h.,,SPR-10,
T-2009,Implementation Phase 9,Bob Smith,Operations,Not Started,Low,2024-01-13,2024-01-30,16337,12585,0,3,2024-01-23,Milestone for Operations initiative #9. Requires sign-off from Bob Smith. Estimated effort: 9h.,,SPR-07,
T-2010,Implementation Phase 10,Ethan Hunt,Marketing,Cancelled,High,2024-01-14,2024-01-19,9630,10403,90,2,2024-01-15,Milestone for Marketing initiative #10. Requires sign-off from Ethan Hunt. Estimated effort: 25h.,,SPR-09,
T-2011,Implementation Phase 11,,Engineering,Done,Medium,2024-01-12,2024-02-05,11621,8623,100,1,2024-01-19,Milestone for Engineering initiative #11. Requires sign-off from Diana Prince. Estimated effort: 38h.,Low,SPR-02,JIRA-8962
T-2012,   ,Ethan Hunt,Marketing,Blocked,Low,2024-01-13,2024-02-11,18455,17275,31,4,2024-01-19,Milestone for Marketing initiative #12. Requires sign-off from Ethan Hunt. Estimated effort: 36h.,Medium,SPR-12,JIRA-6107
T-2013,Implementation Phase 13,Diana Prince,Operations,Blocked,High,2024-01-17,2024-02-12,13236,9353,41,1,2024-01-27,,Medium,SPR-10,JIRA-4608
T-2014,Implementation Phase 14,Ivan Drago,Engineering,Done,High,2024-01-15,2024-01-22,2929,1640,100,2,2024-01-19,Milestone for Engineering initiative #14. Requires sign-off from Ivan Drago. Estimated effort: 33h.,Medium,SPR-09,JIRA-3167
T-2015,Implementation Phase 15,Bob Smith,QA,Blocked,High,2024-01-21,2024-02-13,19881,14530,22,4,2024-02-01,Milestone for QA initiative #15. Requires sign-off from Bob Smith. Estimated effort: 29h.,,SPR-08,JIRA-1887
T-2016,Implementation Phase 16,Diana Prince,Finance,Done,High,2024-01-22,2024-02-16,4224,1868,100,2,2024-01-28,Milestone for Finance initiative #16. Requires sign-off from Diana Prince. Estimated effort: 36h.,,SPR-03,JIRA-7912
T-2017,Implementation Phase 17,Alice Chen,Engineering,Blocked,Low,2024-01-19,2024-02-01,16159,9289,22,1,2024-01-20,Milestone for Engineering initiative #17. Requires sign-off from Alice Chen. Estimated effort: 17h.,Medium,SPR-07,JIRA-8956
T-2018,Implementation Phase 18,Ethan Hunt,Marketing,Blocked,High,2024-01-22,2024-02-02,14141,14589,59,4,2024-01-26,Milestone for Marketing initiative #18. Requires sign-off from Ethan Hunt. Estimated effort: 29h.,,SPR-03,JIRA-4111
T-2019,Implementation Phase 19,Fiona Gallagher,Operations,Not Started,Low,2024-01-22,2024-02-02,2916,2348,0,1,2024-01-22,Milestone for Operations initiative #19. Requires sign-off from Fiona Gallagher. Estimated effort: 39h.,,SPR-09,JIRA-9701
T-2020,Implementation Phase 20,Bob Smith,Marketing,Not Started,Low,2024-01-22,2024-01-28,17640,8045,0,2,2024-01-25,Milestone for Marketing initiative #20. Requires sign-off from Bob Smith. Estimated effort: 9h.,Medium,SPR-10,JIRA-1651
T-2021,Implementation Phase 21,Diana Prince,Operations,Cancelled,Medium,2024-01-26,2024-01-23,14737,12676,43,3,2024-01-29,Milestone for Operations initiative #21. Requires sign-off from Diana Prince. Estimated effort: 18h.,,SPR-03,JIRA-5915
T-2022,Implementation Phase 22,Ivan Drago,Operations,In Progress,High,2024-01-26,2024-02-10,3377,1372,100,2,2024-02-03,Milestone for Operations initiative #22. Requires sign-off from Ivan Drago. Estimated effort: 10h.,High,SPR-02,JIRA-5002
T-2023,Implementation Phase 23,Ivan Drago,Operations,Done,Low,2024-01-26,2024-02-09,6169,4359,0,1,2024-02-05,Milestone for Operations initiative #23. Requires sign-off from Ivan Drago. Estimated effort: 37h.,High,SPR-11,JIRA-2697
T-2024,Implementation Phase 24,Ethan Hunt,Finance,BLOCKED!,High,2024-01-26,2024-02-08,4782,4891,44,2,2024-02-06,Milestone for Finance initiative #24. Requires sign-off from Ethan Hunt. Estimated effort: 23h.,Medium,SPR-11,JIRA-5325
T-2025,Implementation Phase 25,George Weasley,Engineering,Not Started,Low,2024-01-30,2024-02-19,-5000,9539,0,3,2024-01-31,Milestone for Engineering initiative #25. Requires sign-off from George Weasley. Estimated effort: 2h.,High,SPR-03,JIRA-5291
T-2026,Implementation Phase 26,Bob Smith,QA,Cancelled,High,2024-01-28,2024-02-25,15478,12168,24,2,2024-02-14,Milestone for QA initiative #26. Requires sign-off from Bob Smith. Estimated effort: 4h.,High,SPR-10,JIRA-3426
T-2027,Implementation Phase 27,Diana Prince,Engineering,Done,High,2024-01-31,2024-02-09,2370,1459,100,1,2024-02-05,Milestone for Engineering initiative #27. Requires sign-off from Diana Prince. Estimated effort: 37h.,,SPR-10,JIRA-3532
T-2028,Implementation Phase 28,George Weasley,Engineering,In Progress,Low,2024-01-30,2024-02-09,6801,6916,52,2,2024-02-03,Milestone for Engineering initiative #28. Requires sign-off from George Weasley. Estimated effort: 12h.,Low,SPR-07,JIRA-1634
T-2029,Implementation Phase 29,Diana Prince,QA,Done,Medium,2024-02-02,2024-02-14,7539,7324,100,2,2024-02-02,Milestone for QA initiative #29. Requires sign-off from Diana Prince. Estimated effort: 14h.,,SPR-06,JIRA-5564
T-2030,Implementation Phase 30,Fiona Gallagher,Operations,Blocked,Low,2024-01-31,2024-02-29,10146,6552,78,1,2024-02-03,Milestone for Operations initiative #30. Requires sign-off from Fiona Gallagher. Estimated effort: 18h.,Medium,SPR-10,JIRA-5349
T-2031,Implementation Phase 31,Bob Smith,Design,In Progress,Low,2024-02-01,2026-03-01,15239,9783,75,4,2025-07-04,Milestone for Design initiative #31. Requires sign-off from Bob Smith. Estimated effort: 18h.,Low,SPR-12,JIRA-8144
T-2032,Implementation Phase 32,Bob Smith,Finance,In Progress,Medium,2024-02-02,2026-03-01,18643,16420,65,3,2025-07-03,Milestone for Finance initiative #32. Requires sign-off from Bob Smith. Estimated effort: 22h.,Low,SPR-12,JIRA-5920
T-2033,Implementation Phase 33,Charlie Davis,Finance,In Progress,Low,2024-02-07,2026-03-01,14382,9036,100,2,2025-07-02,Milestone for Finance initiative #33. Requires sign-off from Charlie Davis. Estimated effort: 26h.,Medium,SPR-10,JIRA-5930
T-2034,Implementation Phase 34,Fiona Gallagher,Marketing,In Progress,Low,2024-02-07,2026-03-01,1013,620,87,4,2025-07-01,Milestone for Marketing initiative #34. Requires sign-off from Fiona Gallagher. Estimated effort: 30h.,Medium,SPR-09,JIRA-8752
T-2035,Implementation Phase 35,Diana Prince,Finance,In Progress,Medium,2024-02-10,2026-03-01,3778,2261,21,3,2025-06-30,Milestone for Finance initiative #35. Requires sign-off from Diana Prince. Estimated effort: 14h.,Medium,SPR-01,JIRA-1757
T-2036,Implementation Phase 36,Hannah Lee,Finance,In Progress,High,2024-02-07,2026-03-01,3386,2433,59,4,2025-06-29,Milestone for Finance initiative #36. Requires sign-off from Hannah Lee. Estimated effort: 11h.,Low,SPR-02,JIRA-7965
T-2037,Implementation Phase 37,Charlie Davis,Operations,In Progress,High,2024-02-08,2026-03-01,17972,13033,68,4,2025-06-28,Milestone for Operations initiative #37. Requires sign-off from Charlie Davis. Estimated effort: 35h.,High,SPR-08,JIRA-9270
T-2038,Implementation Phase 38,Diana Prince,Finance,In Progress,Medium,2024-02-11,2026-03-01,15611,16048,43,3,2025-06-27,Milestone for Finance initiative #38. Requires sign-off from Diana Prince. Estimated effort: 33h.,Medium,SPR-05,JIRA-8206
T-2039,Implementation Phase 39,Bob Smith,Design,Done,Low,2024-02-09,2024-03-07,10362,5845,100,2,2024-02-13,Milestone for Design initiative #39. Requires sign-off from Bob Smith. Estimated effort: 16h.,,SPR-12,JIRA-3503
T-2040,Implementation Phase 40,Alice Chen,Design,Cancelled,Medium,2024-02-15,2024-02-26,3104,2143,63,2,2024-02-21,Milestone for Design initiative #40. Requires sign-off from Alice Chen. Estimated effort: 26h.,Low,SPR-10,JIRA-7232
T-2041,Implementation Phase 41,Julia Roberts,QA,Blocked,Low,2024-02-14,2024-02-19,1500,12000,79,2,2024-02-17,Milestone for QA initiative #41. Requires sign-off from Julia Roberts. Estimated effort: 16h.,High,SPR-07,JIRA-8956
T-2042,Implementation Phase 42,Julia Roberts,QA,In Progress,Medium,2024-02-12,2024-02-29,12014,10430,300,1,2024-02-24,Milestone for QA initiative #42. Requires sign-off from Julia Roberts. Estimated effort: 39h.,Low,SPR-02,JIRA-8022
